"","x","y"
"Trinidad and Tobago",-61.26565805,10.45735757
"Tunisia",9.55288287,34.11956663
"Turkey",35.16895529,39.06160342
"Taiwan",120.95427264,23.75400343
"United Republic of Tanzania",34.81310214,-6.27565815
"Uganda",32.36907536,1.27469024
"Ukraine",31.38325794,48.99656784
"Uruguay",-56.01806795,-32.79951982
"United States",-112.46167057,45.67955203
"Uzbekistan",63.14001799,41.75554081
"Vatican",12.43386255,41.90174097
"Saint Vincent and the Grenadines",-61.20129438,13.22471841
"Venezuela",-66.18184085,7.12422395
"British Virgin Islands",-64.47140241,18.52593375
"United States Virgin Islands",-64.80300497,17.95501398
"Vietnam",106.29913857,16.64601451
"Vanuatu",167.68636735,-16.22630588
"West Bank",35.24782134,31.94798033
"Wallis and Futuna",-177.34813306,-13.88724988
"Samoa",-172.16481475,-13.75327339
"Yemen",47.58676005,15.90927655
"South Africa",25.08388384,-29.0003377
"Zambia",27.77475082,-13.45824537
"Zimbabwe",29.85145031,-19.00420587
"Tuvalu",178.51989487,-7.76005828
"French Guiana",-53.2484462,3.92595718
